GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Patrones Restaurante,Comportamentales.Command.vista,CommandConsole,97,0,8,0,27,0,8,0,2,0
Patrones Restaurante,Creacionales.FactoryMethod.vista,FactoryConsole,150,0,10,0,46,0,9,0,3,0
Patrones Restaurante,Comportamentales.Observer.vista,ObserverConsole,78,0,7,0,22,0,7,0,2,0
Patrones Restaurante,Creacionales.Singleton.vista,InventoryConsole,106,0,7,0,30,0,7,0,2,0
Patrones Restaurante,Estructurales.Proxy.modelo,Waiter,0,45,0,0,0,15,0,5,0,5
Patrones Restaurante,Estructurales.Proxy.modelo,Client,0,23,0,0,0,8,0,3,0,3
Patrones Restaurante,Estructurales.Proxy.modelo,Kitchen,12,37,0,0,4,12,3,3,3,3
Patrones Restaurante,Creacionales.Singleton.controlador,InventoryController,26,0,0,0,7,0,5,0,5,0
Patrones Restaurante,Creacionales.FactoryMethod.controlador,OrderFactoryController,23,0,0,0,8,0,2,0,2,0
Patrones Restaurante,Estructurales.Proxy.controlador,ProxyController,26,0,0,0,6,0,2,0,2,0
Patrones Restaurante,Creacionales.Singleton.modelo,Kitchen,28,0,2,0,10,0,3,0,2,0
Patrones Restaurante,Creacionales.Singleton.modelo,Inventory,46,109,4,10,11,26,9,10,6,6
Patrones Restaurante,Creacionales.Singleton.modelo,ProductoInventario,6,19,0,0,1,8,1,4,1,4
Patrones Restaurante,Creacionales.Singleton.modelo,Administrator,32,0,0,0,9,0,3,0,3,0
Patrones Restaurante,Creacionales.Builder.vista,BuilderConsole,77,0,9,0,23,0,8,0,2,0
Patrones Restaurante,Comportamentales.ChainOfResponsibility.vista,ChainConsole,13,0,0,0,5,0,2,0,2,0
Patrones Restaurante,Comportamentales.State.vista,StateConsole,85,0,6,0,25,0,5,0,2,0
